,Round,Pick #,Player Name,Position,College
124,4,124.0,Tavius Robinson,OLB,Ole Miss
125,4,125.0,Derius Davis,WR,TCU
126,4,126.0,Isaiah McGuire,DE,Missouri
127,4,127.0,Jake Haener,QB,Fresno State
128,4,128.0,Stetson Bennett,QB,Georgia
129,4,129.0,Viliami Fehoko,DE,San Jose State
130,4,130.0,Tyler Lacy,DE,Oklahoma State
131,4,131.0,Charlie Jones,WR,Purdue
132,4,132.0,Nick Herbig,OLB,Wisconsin
133,4,133.0,Tyler Scott,WR,Cincinnati
134,4,134.0,Jay Ward,S,LSU
135,4*,135.0,Aidan O'Connell,QB,Purdue
136,5,136.0,Yasir Abdullah,OLB,Louisville
137,5,,Selection forfeited[Forfeit 2],Selection forfeited[Forfeit 2],Selection forfeited[Forfeit 2]
138,5,137.0,KJ Henry,DE,Clemson
139,5,138.0,Darius Rush,CB,South Carolina
140,5,139.0,Clayton Tune,QB,Houston
141,5,140.0,Dorian Thompson-Robinson,QB,UCLA
142,5,141.0,Jaquelin Roy,DT,LSU
143,5,142.0,Cameron Mitchell,CB,Northwestern
144,5,143.0,Israel Abanikanda,RB,Pittsburgh
145,5,144.0,Atonio Mafi,OG,UCLA
146,5,145.0,Jammie Robinson,S,Florida State
147,5,146.0,Jordan Howden,S,Minnesota
148,5,147.0,Josh Whyle,TE,Cincinnati
149,5,148.0,Noah Sewell,LB,Oregon
150,5,149.0,Sean Clifford,QB,Penn State
151,5,150.0,Justin Shorter,WR,Florida
152,5,151.0,Mike Morris,DE,Michigan
153,5,152.0,Colby Sorsdal,OT,William & Mary
154,5,153.0,SirVocea Dennis,LB,Pittsburgh
155,5,154.0,Olu Oluwatimi,C,Michigan
156,5,155.0,Darrell Luter Jr.,CB,South Alabama
157,5,156.0,Jordan McFadden,OG,Clemson
158,5,157.0,Kyu Kelly,CB,Stanford
159,5,158.0,Daniel Scott,S,California
160,5,159.0,Dontayvion Wicks,WR,Virginia
161,5,160.0,Antonio Johnson,S,Texas A&M
162,5,161.0,Nick Hampton,LB,Appalachian State
163,5,162.0,Will Mallory,TE,Miami (FL)
164,5,163.0,Chase Brown,RB,Illinois
165,5,164.0,Jaren Hall,QB,BYU
166,5,165.0,Terell Smith,CB,Minnesota
167,5,166.0,B. J. Thompson,LB,Stephen F. Austin
168,5*,167.0,Henry To'oTo'o,LB,Alabama
169,5*,168.0,Owen Pappoe,LB,Auburn
170,5*,169.0,Asim Richards,OT,North Carolina
171,5*,170.0,Christopher Smith II,S,Georgia
172,5*,171.0,Payne Durham,TE,Purdue
173,5*,172.0,Eric Gray,RB,Oklahoma
174,5*,173.0,Robert Beal Jr.,LB,Georgia
175,5*,174.0,Warren McClendon,OT,Georgia
176,5*,175.0,Davis Allen,TE,Clemson
177,5*,176.0,Evan Hull,RB,Northwestern
178,5*,177.0,Puka Nacua,WR,BYU
179,6,178.0,Eric Scott Jr.,CB,Southern Miss
180,6,179.0,Karl Brooks,DT,Bowling Green
181,6,180.0,Kei'Trel Clark,CB,Louisville
182,6,181.0,Josh Hayes,CB,Kansas State
183,6,182.0,Tre'Vius Hodges-Tomlinson,CB,TCU
184,6,183.0,JL Skinner,S,Boise State
185,6,184.0,Zaire Barnes,LB,Western Michigan
186,6,185.0,Parker Washington,WR,Penn State
187,6,186.0,Jaelyn Duncan,OT,Maryland
188,6,187.0,Kayshon Boutte,WR,LSU
189,6,188.0,Tanner McKee,QB,Stanford
190,6,189.0,Ochaun Mathis,DE,Nebraska
191,6,190.0,Luke Wypler,C,Ohio State
192,6,191.0,Trey Palmer,WR,Nebraska
193,6,192.0,Bryce Baringer,P,Michigan State
194,6,193.0,Chris Rodriguez Jr.,RB,Kentucky
195,6,194.0,Keondre Coburn,DT,Texas
196,6,195.0,A. T. Perry,WR,Wake Forest
197,6,196.0,Jose Ramirez,LB,Eastern Michigan
198,6,197.0,Elijah Higgins,WR,Stanford
199,6,198.0,Jerrick Reed II,S,New Mexico
200,6,199.0,Malaesala Aumavae–Laulu,OT,Oregon
201,6,200.0,Scott Matlock,DT,Boise State
202,6,201.0,Jarrett Patterson,C,Notre Dame
203,6,202.0,Christian Braswell,CB,Rutgers
204,6,203.0,Amari Burney,LB,Florida
205,6,204.0,Jarrick Bernard-Converse,CB,LSU
206,6,205.0,Xavier Hutchinson,WR,Iowa State
207,6,206.0,Andrei Iosivas,WR,Princeton
208,6,207.0,Anders Carlson,K,Auburn
209,6,208.0,Erick Hallett,S,Pittsburgh
210,6,209.0,Tre Hawkins III,CB,Old Dominion
211,6*,210.0,Demario Douglas,WR,Liberty
212,6*,211.0,Titus Leo,OLB,Wagner
213,6*,212.0,Deuce Vaughn,RB,Kansas State
214,6*,213.0,Dante Stills,DT,West Virginia
215,6*,214.0,Ameer Speed,CB,Michigan State
216,6*,215.0,Zach Evans,RB,Ole Miss
217,6*,216.0,Dee Winters,LB,TCU
218,6*,217.0,Brad Robbins,P,Michigan
219,7,218.0,Travis Bell,DT,Kennesaw State
220,7,219.0,Antoine Green,WR,North Carolina
221,7,220.0,Zack Kuntz,TE,Old Dominion
222,7,221.0,Jaylon Jones,CB,Texas A&M
223,7,222.0,DeWayne McBride,RB,UAB
224,7,223.0,Ethan Evans,P,Wingate
225,7,224.0,DeMarcco Hellams,S,Alabama
226,7,225.0,Jovaughn Gwyn,OG,South Carolina
227,7,226.0,Cooper Hodges,OT,Appalachian State
228,7,227.0,Raymond Vohasek,DT,North Carolina
229,7,228.0,Colton Dowell,WR,UT Martin
230,7,229.0,Andrew Vorhees,OG,USC
231,7,230.0,Nick Broeker,OG,Ole Miss
232,7,231.0,Nesta Jade Silvera,DT,Arizona State
233,7,232.0,Carrington Valentine,CB,Kentucky
234,7,233.0,Andre Jones Jr.,DE,Louisiana
235,7,234.0,Jason Taylor II,S,Oklahoma State
236,7,235.0,Lew Nichols III,RB,Central Michigan
237,7,236.0,Jake Witt,OT,Northern Michigan
238,7,237.0,Kenny McIntosh,RB,Georgia
239,7,238.0,Ryan Hayes,OT,Michigan
240,7,239.0,Max Duggan,QB,TCU
241,7,240.0,Derek Parish,FB,Houston
242,7,241.0,Cory Trice,CB,Purdue
243,7,242.0,Anthony Johnson Jr.,S,Iowa State
244,7,243.0,Jordon Riley,DT,Oregon
245,7,244.0,Jalen Brooks,WR,South Carolina
246,7,245.0,Isaiah Bolden,CB,Jackson State
247,7,246.0,D. J. Ivey,CB,Miami (FL)
248,7,247.0,Brayden Willis,TE,Oklahoma
249,7,248.0,Brandon Hill,S,Pittsburgh
250,7,249.0,Moro Ojomo,DE,Texas
251,7*,250.0,Nic Jones,CB,Ball State
252,7*,251.0,Spencer Anderson,OG,Maryland
253,7*,252.0,Alex Austin,CB,Oregon State
254,7*,253.0,Ronnie Bell,WR,Michigan
255,7*,254.0,Gervarrius Owens,S,Houston
256,7*,255.0,Jalen Graham,OLB,Purdue
257,7*,256.0,Grant DuBose,WR,Charlotte
258,7*,257.0,Alex Forsyth,C,Oregon
259,7^,258.0,Kendall Williamson,CB,Stanford
260,7^,259.0,Desjuan Johnson,DE,Toledo
